!!!	actors.mobs.goo.!!!	%21%21%21
#$%^	actors.mobs.mob.rage	%23%24%25%5E
%arg% burns up!	actors.buffs.burning.burnsup	%25s%20burns%20up%21
%arg% hit combo!	actors.buffs.combo.combo	%25d%20hit%20combo%21
%arg% killed you...	actors.char.kill	%25s%20killed%20you...
%arg% of affection	items.armor.glyphs.affection.name	%25s%20of%20affection
%arg% of anti-entropy	items.armor.curses.antientropy.name	%25s%20of%20anti-entropy
%arg% of displacement	items.armor.curses.displacement.name	%25s%20of%20displacement
%arg% of entanglement	items.armor.glyphs.entanglement.name	%25s%20of%20entanglement
%arg% of metabolism	items.armor.curses.metabolism.name	%25s%20of%20metabolism
%arg% of multiplicity	items.armor.curses.multiplicity.name	%25s%20of%20multiplicity
%arg% of potential	items.armor.glyphs.potential.name	%25s%20of%20potential
%arg% of stench	items.armor.curses.stench.name	%25s%20of%20stench
%arg% of viscosity	items.armor.glyphs.viscosity.name	%25s%20of%20viscosity
choose a weapon for %arg%.	custom.generated.choose_a_weapon_for_arg_e05b0774bf	Choose%20a%20weapon%20for%20%25s.
choose armor for %arg%.	custom.generated.choose_armor_for_arg_96ae44ea74	Choose%20armor%20for%20%25s.
choose the path you will master.	custom.generated.choose_the_path_you_will_a62f783223
class:	custom.generated.class_ef958ab46a
coat your next attacks in venom.\n- %arg% mana\n- next %arg% attacks deal +%arg%%arg% damage\n- %arg%%arg% chance to poison a target	custom.generated.coat_your_next_attacks_in_b2438f1929	Coat%20your%20next%20attacks%20in%20venom.%5Cn-%20%25d%20mana%5Cn-%20Next%20%25d%20attacks%20deal%20%2B%25d%25%25%20damage%5Cn-%20%25d%25%25%20chance%20to%20poison%20a%20target
confuse	custom.generated.confuse_27d748cf56
confuses the target making it not capable of differentiating friend from foe.	custom.generated.confuses_the_target_making_it_7dce9e175c
could not save the current run.	custom.generated.could_not_save_the_current_f328078cc2
crippling enchantment	custom.generated.crippling_enchantment_3491f58ef3
curare dart	custom.generated.curare_dart_f1f9a829f6
cursed	custom.generated.cursed_5cc0c0a556
damage:	custom.generated.damage_135aee2ea3
dark gold ore. %arg% pieces. seriously, is it dat hard?	custom.generated.dark_gold_ore_arg_pieces_e104f7a12b	Dark%20gold%20ore.%20%25d%20pieces.%20Seriously%2C%20is%20it%20dat%20hard%3F
dark skills	custom.generated.dark_skills_39f696b61c
deals damage to all enemies in range.	custom.generated.deals_damage_to_all_enemies_6d5753d49d
defense:	custom.generated.defense_e862804131
defensive agility	custom.generated.defensive_agility_952b0df7f0
depth reached: %arg%	custom.generated.depth_reached_arg_62564b89c4	Depth%20reached%3A%20%25d
description:	custom.generated.description_4e767418be
difficulty-progression	custom.generated.difficulty_progression_ec73a8c37e
disabled	custom.generated.disabled_07596f183f
disappear	custom.generated.disappear_dbec95941d
disappear into a cloud of smoke, refreshing your invisibility for a short time.\n- %arg% mana\n- %arg% second cooldown	custom.generated.disappear_into_a_cloud_of_14a1f1ef14	Disappear%20into%20a%20cloud%20of%20smoke%2C%20refreshing%20your%20invisibility%20for%20a%20short%20time.%5Cn-%20%25d%20mana%5Cn-%20%25d%20second%20cooldown
displacement glyph	custom.generated.displacement_glyph_d29d1411b4
dominate	custom.generated.dominate_9204a20d3c
dominate the target turning it into nothing more than a slave of your will for a duration.	custom.generated.dominate_the_target_turning_it_77b1303939
donation required	custom.generated.donation_required_e289a7f07f
double shot	custom.generated.double_shot_28e6086cf6
dreamweed	custom.generated.dreamweed_a516f8d0d5
eldritch enchantment	custom.generated.eldritch_enchantment_8e219df264
embraces the assassin path.\n- +%arg% health\n- hero is harder to spot\n- surprise attacks from stealth or against sleeping foes deal bonus damage	custom.generated.embraces_the_assassin_path__n_arg_66f4532006	Embraces%20the%20assassin%20path.%5Cn-%20%2B%25d%20health%5Cn-%20Hero%20is%20harder%20to%20spot%5Cn-%20Surprise%20attacks%20from%20stealth%20or%20against%20sleeping%20foes%20deal%20bonus%20damage
embraces the freerunner path.\n- +%arg%%arg% move speed\n- doubled evasion while not starving\n- +%arg% health	custom.generated.embraces_the_freerunner_path__n_argarg_553e28b1d0	Embraces%20the%20freerunner%20path.%5Cn-%20%2B%25d%25%25%20move%20speed%5Cn-%20Doubled%20evasion%20while%20not%20starving%5Cn-%20%2B%25d%20health
embraces the sniper path.\n- +%arg% health\n- never miss with the bow\n- bow attacks ignore enemy armor	custom.generated.embraces_the_sniper_path__n_arg_e291198b23	Embraces%20the%20sniper%20path.%5Cn-%20%2B%25d%20health%5Cn-%20Never%20miss%20with%20the%20bow%5Cn-%20Bow%20attacks%20ignore%20enemy%20armor
embraces the warden path.\n- +%arg% health\n- double fletching rate	custom.generated.embraces_the_warden_path__n_arg_3fa9624b26	Embraces%20the%20warden%20path.%5Cn-%20%2B%25d%20health%5Cn-%20Double%20fletching%20rate
enchanted	custom.generated.enchanted_baf0771328
enrage	custom.generated.enrage_2ec68128d8
enrages the target making it attack recklessly with no regards for its own safety.\n- target does %arg%%arg% more damage\n- target takes %arg%%arg% more damage	custom.generated.enrages_the_target_making_it_789232b1f1	Enrages%20the%20target%20making%20it%20attack%20recklessly%20with%20no%20regards%20for%20its%20own%20safety.%5Cn-%20Target%20does%20%25d%25%25%20more%20damage%5Cn-%20Target%20takes%20%25d%25%25%20more%20damage
entanglement glyph	custom.generated.entanglement_glyph_3cb0ec11eb
excellent	custom.generated.excellent_8065c94672
execution	custom.generated.execution_1e21474598
exit	custom.generated.exit_de3ac21778
experience:	custom.generated.experience_622789f2db
extensive training and focus allows the champion to control two summons at the same time.	custom.generated.extensive_training_and_focus_allows_88dee3abb9
extra summon	custom.generated.extra_summon_d2ec7557f1
fast	custom.generated.fast_0afde56699
fell on %arg%	custom.generated.fell_on_arg_98621b693a	Fell%20on%20%25s
few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	custom.generated.few_creatures_can_withstand_the_c53e7d5861
fire a carefully lined up bow shot.\n- %arg% mana\n- consumes %arg% arrow\n- +%arg%%arg% accuracy\n- +%arg%%arg% damage	custom.generated.fire_a_carefully_lined_up_199517e64d	Fire%20a%20carefully%20lined%20up%20bow%20shot.%5Cn-%20%25d%20mana%5Cn-%20Consumes%20%25d%20arrow%5Cn-%20%2B%25d%25%25%20accuracy%5Cn-%20%2B%25d%25%25%20damage
fire a cruel shot aimed for the legs.\n- %arg% mana\n- consumes %arg% arrow\n- +%arg%%arg% damage\n- chance to cripple enemy	custom.generated.fire_a_cruel_shot_aimed_91254cca76	Fire%20a%20cruel%20shot%20aimed%20for%20the%20legs.%5Cn-%20%25d%20mana%5Cn-%20Consumes%20%25d%20arrow%5Cn-%20%2B%25d%25%25%20damage%5Cn-%20Chance%20to%20cripple%20enemy
fire a heavy iron-tipped arrow that keeps going through the fight.\n- %arg% mana\n- consumes %arg% arrow\n- arrow passes through enemies	custom.generated.fire_a_heavy_iron_tipped_arrow_0a016706e1	Fire%20a%20heavy%20iron-tipped%20arrow%20that%20keeps%20going%20through%20the%20fight.%5Cn-%20%25d%20mana%5Cn-%20Consumes%20%25d%20arrow%5Cn-%20Arrow%20passes%20through%20enemies
fire an explosive arrowhead that spreads damage beyond the main target.\n- %arg% mana\n- consumes %arg% arrow\n- %arg%%arg% aoe damage	custom.generated.fire_an_explosive_arrowhead_that_8faf660003	Fire%20an%20explosive%20arrowhead%20that%20spreads%20damage%20beyond%20the%20main%20target.%5Cn-%20%25d%20mana%5Cn-%20Consumes%20%25d%20arrow%5Cn-%20%25d%25%25%20AOE%20damage
fire is an easy element to manipulate. only after it is mastered can one use it to its full effect.\n- +%arg%%arg% damage from wands	custom.generated.fire_is_an_easy_element_e7a5acfce9	Fire%20is%20an%20easy%20element%20to%20manipulate.%20Only%20after%20it%20is%20mastered%20can%20one%20use%20it%20to%20its%20full%20effect.%5Cn-%20%2B%25d%25%25%20damage%20from%20wands
fire mastery	custom.generated.fire_mastery_6b0a72acfb
fireball wand	custom.generated.fireball_wand_47a528c842
firebolt wand	custom.generated.firebolt_wand_e722cffcb9
fireworks	custom.generated.fireworks_a85f18261c
fists	custom.generated.fists_34fecf4b1d
flame bow	custom.generated.flame_bow_2e0dfb9f5f
flames erupt	custom.generated.flames_erupt_4808ff9f31
fletched arrow	custom.generated.fletched_arrow_53dd3f5bbb
fletching	custom.generated.fletching_bc0af336e8
flying	custom.generated.flying_0974abfe45
free runner	custom.generated.free_runner_088e3a640b
free!	custom.generated.free_2b8a9961d0
freezing cloud	custom.generated.freezing_cloud_2ca33bd343
frenzy	custom.generated.frenzy_26312adef7
frost bow	custom.generated.frost_bow_a03f32ded9
gas neutralized	custom.generated.gas_neutralized_99ea8bc6bb
gear:	custom.generated.gear_eed826ce2c
gemstone	custom.generated.gemstone_11fa4328fd
gone	custom.generated.gone_a6dfdeaa3a
good luck in your quest!	custom.generated.good_luck_in_your_quest_251ae2ea8b
grand master	custom.generated.grand_master_66ef53a32c
grim enchantment	custom.generated.grim_enchantment_fc83398e99
grounded	custom.generated.grounded_767a3311c1
guided	custom.generated.guided_5b590af68f
guided projectiles can reach further distances.	custom.generated.guided_projectiles_can_reach_further_3b9cc6ea65
hack sword	custom.generated.hack_sword_74d9cfc832
hammer	custom.generated.hammer_7cc918f959
health:	custom.generated.health_9b98040294
heaven protect us	custom.generated.heaven_protect_us_2aaf2f2069
heavy	custom.generated.heavy_7e85183c21
heightened awareness helps rogues evade incoming shots.\n- +%arg%%arg% chance of dodging ranged attacks	custom.generated.heightened_awareness_helps_rogues_evade_cc3ceabd02	Heightened%20awareness%20helps%20rogues%20evade%20incoming%20shots.%5Cn-%20%2B%25d%25%25%20chance%20of%20dodging%20ranged%20attacks
heightened awareness keeps the huntress ready for incoming missiles.\n+%arg%%arg% defense from ranged attacks	custom.generated.heightened_awareness_keeps_the_huntress_69324b9f7e	Heightened%20awareness%20keeps%20the%20huntress%20ready%20for%20incoming%20missiles.%5Cn%2B%25d%25%25%20defense%20from%20ranged%20attacks
hello adventurer... once i was like you - strong and confident... and now i'm dead... but i can't leave this place, as i am bound by a horrid curse... please... help me... destroy the curse...	custom.generated.hello_adventurer_once_i_was_31d46ea80e
hello adventurer... once i was like you - strong and confident... and now i'm dead... but i can't leave this place... not until i have my dried rose... it's very important to me... some monster stole it from my body...	custom.generated.hello_adventurer_once_i_was_9e9e8d4442
hello adventurer... once i was like you - strong and confident... and now i'm dead... but i can't leave this place... not until i have my revenge... slay the fetid rat that has taken my life...	custom.generated.hello_adventurer_once_i_was_1277e7dcff
hello, friend! show me what you want to sell... maybe it's worth my time...	custom.generated.hello_friend_show_me_what_735d3ed946
hey human! wanna be useful, eh? take dis pickaxe and kill a bat wit' it, i need its blood on the head. what do you mean, how am i gonna pay? you greedy... ok, ok, i don't have money to pay, but i can do some smithin' for you. consider yourself lucky, i'm the only blacksmith around.	custom.generated.hey_human_wanna_be_useful_14bcc0da93
hey human! wanna be useful, eh? take dis pickaxe and mine me some dark gold ore, %arg% pieces should be enough. what do you mean, how am i gonna pay? you greedy... ok, ok, i don't have money to pay, but i can do some smithin' for you. consider yourself lucky, i'm the only blacksmith around.	custom.generated.hey_human_wanna_be_useful_3bd67b5451	Hey%20human%21%20Wanna%20be%20useful%2C%20eh%3F%20Take%20dis%20pickaxe%20and%20mine%20me%20some%20dark%20gold%20ore%2C%20%25d%20pieces%20should%20be%20enough.%20What%20do%20you%20mean%2C%20how%20am%20I%20gonna%20pay%3F%20You%20greedy...%20Ok%2C%20ok%2C%20I%20don%27t%20have%20money%20to%20pay%2C%20but%20I%20can%20do%20some%20smithin%27%20for%20you.%20Consider%20yourself%20lucky%2C%20I%27m%20the%20only%20blacksmith%20around.
hire	custom.generated.hire_c498ae69ab
hopeless	custom.generated.hopeless_0a92310758
how is your golem safari going?	custom.generated.how_is_your_golem_safari_96df600023
hunting	custom.generated.hunting_cae56215a8
huntresses choose between warden and sniper after reading the tome of mastery dropped by tengu.\n%arg%	custom.generated.huntresses_choose_between_warden_and_4aaa3b17c7	Huntresses%20choose%20between%20Warden%20and%20Sniper%20after%20reading%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
huntresses learn to stay unseen while stalking prey.\n- hero is harder to spot	custom.generated.huntresses_learn_to_stay_unseen_bd7ff199bc
huntresses start with a bow	custom.generated.huntresses_start_with_a_bow_cd1ff949c4
huntresses start with four healing potions	custom.generated.huntresses_start_with_four_healing_05da9170b0
huntresses start with thirty arrows	custom.generated.huntresses_start_with_thirty_arrows_aa34c996a6
huntresses start with two rations	custom.generated.huntresses_start_with_two_rations_112443dd60
huntresses strike from a distance and prefer to keep enemies at arm's reach.	custom.generated.huntresses_strike_from_a_distance_90a92593e1
i am ok with that	custom.generated.i_am_ok_with_that_17341ab7b9
i can't	custom.generated.i_can_t_5e394e2483
i run out of patience	custom.generated.i_run_out_of_patience_f846ef7211
i said i need bat blood on the pickaxe. chop chop!	custom.generated.i_said_i_need_bat_0aa978ca5f
improves rogue poison damage against enemies.\n- +%arg%%arg% poison damage	custom.generated.improves_rogue_poison_damage_against_3b7b4fbcf7	Improves%20rogue%20poison%20damage%20against%20enemies.%5Cn-%20%2B%25d%25%25%20poison%20damage
in the past these levels were the outskirts of metropolis. after the costly victory in the war with the old god dwarves were too weakened to clear them of remaining demons. gradually demons have tightened their grip on this place and now it's called demon halls.\n\nvery few adventurers have ever descended this far...	custom.generated.in_the_past_these_levels_d51e6a3428
inactive-body	custom.generated.inactive_body_af109b95dc
incineration wand	custom.generated.incineration_wand_c625fa92c7
insight gained	custom.generated.insight_gained_bb840d5f2d
insufficient gold	custom.generated.insufficient_gold_725c4e6585
inventory snapshot	custom.generated.inventory_snapshot_70b2c8ec67
iron tip	custom.generated.iron_tip_737892f1b4
it bears the %arg%.\n%arg%	custom.generated.it_bears_the_arg__narg_0f07d67472	It%20bears%20the%20%25s.%5Cn%25s
it bears the %arg%.\n%arg%%arg%	custom.generated.it_bears_the_arg__nargarg_f290b7fb67	It%20bears%20the%20%25s.%5Cn%25s%25s
it can absorb %arg% damage.	custom.generated.it_can_absorb_arg_damage_67642f1d00	It%20can%20absorb%20%25d%20damage.
it can absorb %arg% damage.%arg%	custom.generated.it_can_absorb_arg_damage_arg_3e55ef3c31	It%20can%20absorb%20%25d%20damage.%25s
it can do between %arg% and %arg% damage.	custom.generated.it_can_do_between_arg_4250423d2e	It%20can%20do%20between%20%25d%20and%20%25d%20damage.
it can do between %arg% and %arg% damage.%arg%	custom.generated.it_can_do_between_arg_83958485e9	It%20can%20do%20between%20%25d%20and%20%25d%20damage.%25s
it is	custom.generated.it_is_79d4a897f4
it is %arg%.\n%arg%	custom.generated.it_is_arg__narg_632c48b35b	It%20is%20%25s.%5Cn%25s
it is %arg%.\n%arg%%arg%	custom.generated.it_is_arg__nargarg_8a0a532887	It%20is%20%25s.%5Cn%25s%25s
it takes %arg% skill points to learn this skill.	custom.generated.it_takes_arg_skill_points_026bc2dce4	It%20takes%20%25d%20skill%20points%20to%20learn%20this%20skill.
its magic feels wrong and hostile.	custom.generated.its_magic_feels_wrong_and_e724ca99eb
its magic has been refined to +	custom.generated.its_magic_has_been_refined_8d06657eba
knee shot	custom.generated.knee_shot_a0646411c7
knock back	custom.generated.knock_back_641b1b9399
knocking an enemy back is a wise tactic especially when surrounded.	custom.generated.knocking_an_enemy_back_is_fcde0ca3b1
knuckles	custom.generated.knuckles_76e41f69ce
level %arg%	custom.generated.level_arg_4466275219	Level%20%25s
level ?	custom.generated.level_cea2736ee2
level:	custom.generated.level_743e835927
lock smith	custom.generated.lock_smith_d24534e46d
loose a pair of arrows at once.\n- %arg% mana\n- consumes %arg% arrows\n- fires two arrows at the same time.	custom.generated.loose_a_pair_of_arrows_9360cafc44	Loose%20a%20pair%20of%20arrows%20at%20once.%5Cn-%20%25d%20mana%5Cn-%20Consumes%20%25d%20arrows%5Cn-%20Fires%20two%20arrows%20at%20the%20same%20time.
lots of	custom.generated.lots_of_0766435f6f
lucky enchantment	custom.generated.lucky_enchantment_75a48c2f5d
makes target more vulnerable to damage.\n- target takes %arg%%arg% more damage	custom.generated.makes_target_more_vulnerable_to_8775216f7c	Makes%20target%20more%20vulnerable%20to%20damage.%5Cn-%20Target%20takes%20%25d%25%25%20more%20damage
mana armor	custom.generated.mana_armor_87a5b8222c
mana armor broke!	custom.generated.mana_armor_broke_5a640153df
mana restored	custom.generated.mana_restored_11354ce33c
many years of conflict has made this hero durable. what hurts others barely scratches this one.\n+%arg%%arg% defence	custom.generated.many_years_of_conflict_has_1b019ff879	Many%20years%20of%20conflict%20has%20made%20this%20hero%20durable.%20What%20hurts%20others%20barely%20scratches%20this%20one.%5Cn%2B%25d%25%25%20defence
mass armor	custom.generated.mass_armor_fc55dfb688
mass mana armor	custom.generated.mass_mana_armor_999d9a26e0
master	custom.generated.master_4f26aeafdb
mastering melee weapons allows a warrior to attack at a faster rate.\n+%arg%%arg% melee attack speed	custom.generated.mastering_melee_weapons_allows_a_4812f67fb6	Mastering%20melee%20weapons%20allows%20a%20warrior%20to%20attack%20at%20a%20faster%20rate.%5Cn%2B%25d%25%25%20melee%20attack%20speed
mastering wands allows a hero to use them with more proficiency.\n- +%arg%%arg% range on wands	custom.generated.mastering_wands_allows_a_hero_80ec7d6aca	Mastering%20wands%20allows%20a%20hero%20to%20use%20them%20with%20more%20proficiency.%5Cn-%20%2B%25d%25%25%20range%20on%20wands
meditation	custom.generated.meditation_6e77a66b8e
medium speed	custom.generated.medium_speed_68d5735fbb
metabolism glyph	custom.generated.metabolism_glyph_86975f41b5
mirrors rise	custom.generated.mirrors_rise_52bc353329
mmm.. you're naked...	custom.generated.mmm_you_re_naked_3f27aad7fa
mobs	custom.generated.mobs_265cf4a078
more loot	custom.generated.more_loot_57b3a29216
move speed:	custom.generated.move_speed_292b8295e7
movement:	custom.generated.movement_0638edfd5d
multiplicity glyph	custom.generated.multiplicity_glyph_c6746a650e
my weapon!	custom.generated.my_weapon_dccafb791a
neutral	custom.generated.neutral_e7fb41a6a0
nighty night	custom.generated.nighty_night_e15ea4329f
no ammo	custom.generated.no_ammo_e84d2831e2
no answer	custom.generated.no_answer_bfca15c22a
no arrows	custom.generated.no_arrows_80e316136c
no dark gold vein is within reach from this platform.	custom.generated.no_dark_gold_vein_is_b88630496a
no fear	custom.generated.no_fear_3dbc47d13a
no gas	custom.generated.no_gas_019458ab91
no hostile minds	custom.generated.no_hostile_minds_f2f251b826
no targets	custom.generated.no_targets_9d0c04966d
nothing hidden	custom.generated.nothing_hidden_feed6ee3c2
numbing gas	custom.generated.numbing_gas_36b00624d8
oh yes! you are my hero! regarding your reward, i don't have cash with me right now, but i have something better for you. this is my family heirloom ring.	custom.generated.oh_yes_you_are_my_14b646c984
oh, i see you have succeeded! i do hope it hasn't troubled you too much. as i promised, you can choose one of my high quality wands.	custom.generated.oh_i_see_you_have_cef64cb7a7
oh, what a pleasant surprise to meet a decent person in such place! i came here for a rare ingredient - a rotberry seed. being a magic user, i'm quite able to defend myself against local monsters, but i'm getting lost in no time, it's very embarrassing. probably you could help me? i would be happy to pay for your service with one of my best wands.	custom.generated.oh_what_a_pleasant_surprise_2d5638b531
oh, what a pleasant surprise to meet a decent person in such place! i came here for a rare ingredient - corpse dust. it can be gathered from skeletal remains and there is an ample number of them in the dungeon. being a magic user, i'm quite able to defend myself against local monsters, but i'm getting lost in no time, it's very embarrassing. probably you could help me? i would be happy to pay for your service with one of my best wands.	custom.generated.oh_what_a_pleasant_surprise_c61a76d7ae
oh, what a pleasant surprise to meet a decent person in such place! i came here for a rare ingredient: a phantom fish. you can catch it with your bare hands, but it's very hard to notice in the water. being a magic user, i'm quite able to defend myself against local monsters, but i'm getting lost in no time, it's very embarrassing. probably you could help me? i would be happy to pay for your service with one of my best wands.	custom.generated.oh_what_a_pleasant_surprise_d0b76a2632
oh, you are still alive! just don't forget to grab those monks' tokens.	custom.generated.oh_you_are_still_alive_eb10344973
oh, you have returned... better late dan never.	custom.generated.oh_you_have_returned_better_178abe4759
ok, a deal is a deal, dat's what i can do for you: i can reforge %arg% items and turn them into one of a better quality.	custom.generated.ok_a_deal_is_a_e8b7712277	Ok%2C%20a%20deal%20is%20a%20deal%2C%20dat%27s%20what%20I%20can%20do%20for%20you%3A%20I%20can%20reforge%20%25d%20items%20and%20turn%20them%20into%20one%20of%20a%20better%20quality.
once it reaches %arg% charge, it can be activated to restore health.	custom.generated.once_it_reaches_arg_charge_7865d7194f	Once%20it%20reaches%20%25d%20charge%2C%20it%20can%20be%20activated%20to%20restore%20health.
only the rare few reach the rank of grand master.\n- +%arg%%arg% range on wands\n- +%arg%%arg% damage on wands	custom.generated.only_the_rare_few_reach_6de674427d	Only%20the%20rare%20few%20reach%20the%20rank%20of%20grand%20master.%5Cn-%20%2B%25d%25%25%20range%20on%20wands%5Cn-%20%2B%25d%25%25%20damage%20on%20wands
opposed-input	custom.generated.opposed_input_578e05814c
patient crafting keeps arrows ready for the next fight.\ngenerates arrows passively.	custom.generated.patient_crafting_keeps_arrows_ready_ad216b2be0
phantom fish	custom.generated.phantom_fish_f08302c02d
picked up a key	custom.generated.picked_up_a_key_b2fe78ee8d
please... help me... find the rose...	custom.generated.please_help_me_find_the_78a0d39b3e
please... help me... slay the abomination...	custom.generated.please_help_me_slay_the_bffa7ad7a4
poison buff	custom.generated.poison_buff_3e0bc79db5
poor	custom.generated.poor_2156e40a12
poorly manufactured projectiles do not reach long distances.	custom.generated.poorly_manufactured_projectiles_do_not_1e38897606
potential glyph	custom.generated.potential_glyph_da358a1957
potion of mana	custom.generated.potion_of_mana_7278278513
potion of might	custom.generated.potion_of_might_1700b318b5
practicing summoning skills leads to better summons that can do more damage and withstand more.\n- fire elementals have %arg%%arg% more health\n- fire elementals take %arg%%arg% less damage	custom.generated.practicing_summoning_skills_leads_to_ac04bb4622	Practicing%20summoning%20skills%20leads%20to%20better%20summons%20that%20can%20do%20more%20damage%20and%20withstand%20more.%5Cn-%20Fire%20elementals%20have%20%25d%25%25%20more%20health%5Cn-%20Fire%20elementals%20take%20%25d%25%25%20less%20damage
price:	custom.generated.price_91a29da024
purified	custom.generated.purified_903ada1687
rampage	custom.generated.rampage_46d08600a0
rat-king-support	custom.generated.rat_king_support_505389fa50
rations	custom.generated.rations_670477096f
reach %arg%%arg%	custom.generated.reach_argarg_407d8fabcb	REACH%20%25s%25s
read-only final inventory snapshot for this run.	custom.generated.read_only_final_inventory_snapshot_for_5d30cc18b4
ready	custom.generated.ready_75c0533730
regeneration	custom.generated.regeneration_df9a698b88
requires	custom.generated.requires_d6e7cd005c
requires %arg%.	custom.generated.requires_arg_4fa2bc0ba7	Requires%20%25s.
requires %arg%.%arg%	custom.generated.requires_arg_arg_01d150b852	Requires%20%25s.%25s
restored	custom.generated.restored_6e39dd1851
ring of detection	custom.generated.ring_of_detection_ab87178790
ring of haggler	custom.generated.ring_of_haggler_0477979819
ring of herbalism	custom.generated.ring_of_herbalism_5fc3ca691c
ring of mending	custom.generated.ring_of_mending_51ca489505
ring of power	custom.generated.ring_of_power_cc3ff3377c
ring of satiety	custom.generated.ring_of_satiety_2380f40d14
ring of shadows	custom.generated.ring_of_shadows_b8cc08f67e
ring of thorns	custom.generated.ring_of_thorns_7e67fda702
rise	custom.generated.rise_e5edb94ec7
ritual!	custom.generated.ritual_35d7c4e20e
rogues choose between free runner and assassin after reading the tome of mastery dropped by tengu.\n%arg%	custom.generated.rogues_choose_between_free_runner_2cdd118b69	Rogues%20choose%20between%20Free%20Runner%20and%20Assassin%20after%20reading%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
rogues excel at staying unseen.\n- hero is harder to spot	custom.generated.rogues_excel_at_staying_unseen__n_b0a32ef6fb
rogues learn to spot and pocket extra valuables.\n- +%arg%%arg% gold found\n- gold cannot be stolen	custom.generated.rogues_learn_to_spot_and_6efe36abb1	Rogues%20learn%20to%20spot%20and%20pocket%20extra%20valuables.%5Cn-%20%2B%25d%25%25%20gold%20found%5Cn-%20Gold%20cannot%20be%20stolen
rogues start with a dagger	custom.generated.rogues_start_with_a_dagger_751e0816fe
rogues start with ten shuriken	custom.generated.rogues_start_with_ten_shuriken_7d4f2e11ec
rogues start with three healing potions	custom.generated.rogues_start_with_three_healing_44169c8482
rogues start with two rations	custom.generated.rogues_start_with_two_rations_c65e2125ff
save & exit	custom.generated.save_exit_1f9dd4e8de
scorpion	custom.generated.scorpion_884950a05f
scroll of bloody ritual	custom.generated.scroll_of_bloody_ritual_d1ed99ded7
scroll of frost	custom.generated.scroll_of_frost_88d6066dd0
scroll of readiness	custom.generated.scroll_of_readiness_ae31ac8a80
scroll of sacrifice	custom.generated.scroll_of_sacrifice_7da99bdc1d
scroll of sanctuary	custom.generated.scroll_of_sanctuary_24663dc4d0
scroll of skill	custom.generated.scroll_of_skill_931b85687d
scroll of wipe out	custom.generated.scroll_of_wipe_out_185252ddac
seasoned rogues learn to stay on their feet when plans go wrong.\n- +%arg%%arg% health	custom.generated.seasoned_rogues_learn_to_stay_b1cc9a2ee1	Seasoned%20rogues%20learn%20to%20stay%20on%20their%20feet%20when%20plans%20go%20wrong.%5Cn-%20%2B%25d%25%25%20health
secrets revealed	custom.generated.secrets_revealed_41c6c3fceb
see you!	custom.generated.see_you_10930cc5f7
seed of dreamweed	custom.generated.seed_of_dreamweed_e08dc1f117
seen	custom.generated.seen_229670d592
select an item to reforge	custom.generated.select_an_item_to_reforge_19ac7e96c7
select armor	custom.generated.select_armor_e59f49c96b
select weapon	custom.generated.select_weapon_b3aade6762
senior	custom.generated.senior_2c0b43fedb
shadow clone	custom.generated.shadow_clone_820fa4498b
shielded brute	custom.generated.shielded_brute_825df1bee3
shocking enchantment	custom.generated.shocking_enchantment_e17c8c3bd5
silence	custom.generated.silence_ca456ebf8e
silent death	custom.generated.silent_death_d9bff255d7
skill #%arg%	custom.generated.skill_arg_ed5d8f9491	Skill%20%23%25s
skillful-settings	custom.generated.skillful_settings_0f78fc75c3
skills	custom.generated.skills_816f2b87d3
skills other	custom.generated.skills_other_ebd58afa04
skills used	custom.generated.skills_used_568386dae2
sleep	custom.generated.sleep_c3ca5f7873
sleeping non-boss enemies have a %arg%%arg% chance to die instantly from melee attacks.	custom.generated.sleeping_non_boss_enemies_have_a_c463215a88	Sleeping%20non-boss%20enemies%20have%20a%20%25d%25%25%20chance%20to%20die%20instantly%20from%20melee%20attacks.
slow	custom.generated.slow_57e8a7776d
slows down enemies making them easier to be dealt with.\n - target loses %arg%%arg% speed	custom.generated.slows_down_enemies_making_them_d38e200281	Slows%20down%20enemies%20making%20them%20easier%20to%20be%20dealt%20with.%5Cn%20-%20Target%20loses%20%25d%25%25%20speed
smash	custom.generated.smash_31fe827aea
smashes the target with might dealing %arg%%arg% extra damage.	custom.generated.smashes_the_target_with_might_6473f4bcea	Smashes%20the%20target%20with%20might%20dealing%20%25d%25%25%20extra%20damage.
smites the target with full aggression dealing %arg%%arg% more damage.	custom.generated.smites_the_target_with_full_b5d504b203	Smites%20the%20target%20with%20full%20aggression%20dealing%20%25d%25%25%20more%20damage.
sniper skills specialize in crippling, disabling, and explosive arrow attacks. unlock sniper through the tome of mastery dropped by tengu.\n%arg%	custom.generated.sniper_skills_specialize_in_crippling_1f11aaca10	Sniper%20skills%20specialize%20in%20crippling%2C%20disabling%2C%20and%20explosive%20arrow%20attacks.%20Unlock%20Sniper%20through%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
some	custom.generated.some_eb87581285
